FID	IID	SEX
HG01858	HG01858	2
HG01859	HG01859	2
HG01860	HG01860	1
HG01861	HG01861	1
HG01862	HG01862	2
HG01863	HG01863	2
HG01864	HG01864	1
HG01865	HG01865	1
HG01866	HG01866	1
HG01867	HG01867	1
HG01868	HG01868	2
HG01869	HG01869	2
HG01870	HG01870	2
HG01871	HG01871	2
HG01872	HG01872	1
HG01873	HG01873	1
HG01874	HG01874	2
HG01878	HG01878	2
HG01879	HG01879	1
HG01880	HG01880	2
HG01882	HG01882	1
HG01883	HG01883	2
HG01885	HG01885	1
HG01886	HG01886	2
HG01889	HG01889	2
HG01890	HG01890	1
HG01892	HG01892	1
HG01893	HG01893	2
HG01894	HG01894	2
HG01896	HG01896	2
HG01912	HG01912	1
HG01914	HG01914	1
HG01915	HG01915	2
HG01917	HG01917	1
HG01918	HG01918	2
HG01920	HG01920	1
HG01921	HG01921	2
HG01923	HG01923	1
HG01924	HG01924	2
HG01926	HG01926	1
HG01927	HG01927	2
HG01932	HG01932	1
HG01933	HG01933	2
HG01935	HG01935	1
HG01936	HG01936	2
HG01938	HG01938	1
HG01939	HG01939	2
HG01941	HG01941	1
HG01942	HG01942	2
HG01944	HG01944	1
HG01945	HG01945	2
HG01947	HG01947	1
HG01948	HG01948	2
HG01950	HG01950	1
HG01951	HG01951	2
HG01953	HG01953	1
HG01954	HG01954	2
HG01956	HG01956	2
HG01958	HG01958	2
HG01961	HG01961	1
HG01965	HG01965	2
HG01967	HG01967	1
HG01968	HG01968	2
HG01970	HG01970	1
HG01971	HG01971	2
HG01973	HG01973	2
HG01974	HG01974	1
HG01976	HG01976	2
HG01977	HG01977	1
HG01979	HG01979	1
HG01980	HG01980	2
HG01982	HG01982	1
HG01985	HG01985	2
HG01986	HG01986	1
HG01988	HG01988	1
HG01989	HG01989	2
HG01990	HG01990	1
HG01991	HG01991	1
HG01992	HG01992	2
HG01997	HG01997	2
HG02002	HG02002	1
HG02003	HG02003	2
HG02006	HG02006	2
HG02008	HG02008	1
HG02009	HG02009	1
HG02010	HG02010	2
HG02012	HG02012	2
HG02013	HG02013	1
HG02014	HG02014	1
HG02016	HG02016	2
HG02017	HG02017	1
HG02019	HG02019	2
HG02020	HG02020	1
HG02023	HG02023	1
HG02025	HG02025	2
HG02026	HG02026	1
HG02028	HG02028	2
HG02029	HG02029	1
HG02031	HG02031	2
HG02032	HG02032	1
HG02035	HG02035	1
HG02040	HG02040	1
HG02047	HG02047	1
HG02048	HG02048	2
HG02049	HG02049	2
HG02050	HG02050	1
HG02051	HG02051	1
HG02052	HG02052	2
HG02053	HG02053	1
HG02054	HG02054	2
HG02057	HG02057	2
HG02058	HG02058	1
HG02060	HG02060	2
HG02061	HG02061	1
HG02064	HG02064	1
HG02067	HG02067	1
HG02069	HG02069	2
HG02070	HG02070	1
HG02072	HG02072	2
HG02073	HG02073	1
HG02075	HG02075	2
HG02076	HG02076	1
HG02078	HG02078	2
HG02079	HG02079	1
HG02081	HG02081	2
HG02082	HG02082	1
HG02084	HG02084	2
HG02085	HG02085	1
HG02086	HG02086	2
HG02087	HG02087	2
HG02088	HG02088	1
HG02089	HG02089	2
HG02090	HG02090	1
HG02095	HG02095	2
